Year,Town,"TANF cases, Rate (per 1000)","TANF cases, Number","Total estimated households, Number","Food stamps cases, Rate (per 1000)","Food stamps cases, Number","Total estimated households, Number"
1998,Andover,4.35,5,1150,9.57,11,1150
1998,Ansonia,45.96,345,7507,82.59,620,7507
1998,Ashford,13.94,22,1578,20.28,32,1578
1998,Avon,0.97,6,6192,3.88,24,6192
1998,Barkhamsted,3.75,5,1334,5.25,7,1334
1998,Beacon Falls,9.84,20,2032,15.75,32,2032
1998,Berlin,5.45,37,6792,11.63,79,6792
1998,Bethany,3.42,6,1755,7.98,14,1755
1998,Bethel,8.46,55,6505,14.91,97,6505
1998,Bethlehem,1.61,2,1246,4.01,5,1246
1998,Bloomfield,32.02,253,7902,48.34,382,7902
1998,Bolton,5.25,10,1906,8.39,16,1906
1998,Bozrah,6.8,6,883,15.86,14,883
1998,Branford,9.97,125,12543,23.76,298,12543
1998,Bridgeport,120.16,6045,50307,200.37,10080,50307
1998,Bridgewater,2.84,2,703,4.27,3,703
1998,Bristol,29.49,734,24886,55.77,1388,24886
1998,Brookfield,3.95,22,5572,6.46,36,5572
1998,Brooklyn,9.48,24,2531,22.92,58,2531
1998,Burlington,3.87,11,2840,4.93,14,2840
1998,Canaan,15.73,7,445,29.21,13,445
1998,Canterbury,9.32,16,1717,22.71,39,1717
1998,Canton,4.84,17,3516,8.82,31,3516
1998,Chaplin,11.66,10,858,15.15,13,858
1998,Cheshire,2.99,28,9349,6.63,62,9349
1998,Chester,7.28,11,1510,14.57,22,1510
1998,Clinton,9.93,51,5134,24.35,125,5134
1998,Colchester,10.91,57,5225,22.39,117,5225
1998,Colebrook,1.77,1,566,3.53,2,566
1998,Columbia,6.44,12,1864,8.58,16,1864
1998,Connecticut,36.71,47787,1301670,68.89,89675,1301670
1998,Cornwall,6.5,4,615,11.38,7,615
1998,Coventry,11.73,50,4261,20.89,89,4261
1998,Cromwell,7.48,39,5212,15.35,80,5212
1998,Danbury,27.66,752,27183,56.14,1526,27183
1998,Darien,0.91,6,6592,4.1,27,6592
1998,Deep River,7.13,13,1824,21.38,39,1824
1998,Derby,35.99,189,5252,63.4,333,5252
1998,Durham,4.83,11,2277,6.15,14,2277
1998,East Granby,7.58,14,1848,15.69,29,1848
1998,East Haddam,8.19,26,3174,16.07,51,3174
1998,East Hampton,8,33,4126,16.24,67,4126
1998,East Hartford,54.84,1108,20206,97.05,1961,20206
1998,East Haven,26.92,302,11219,57.22,642,11219
1998,East Lyme,7.93,50,6308,16.49,104,6308
1998,East Windsor,14.47,59,4078,32.86,134,4078
1998,Eastford,6.47,4,618,17.8,11,618
1998,Easton,0,0,2465,1.62,4,2465
1998,Ellington,5.39,28,5195,11.93,62,5195
1998,Enfield,19.67,323,16418,32.1,527,16418
1998,Essex,4.62,13,2811,8.54,24,2811
1998,Fairfield,4.51,92,20397,10.15,207,20397
1998,Farmington,5.16,49,9496,15.59,148,9496
1998,Franklin,5.82,4,687,7.28,5,687
1998,Glastonbury,5.71,70,12257,12.97,159,12257
1998,Goshen,2.81,3,1066,11.26,12,1066
1998,Granby,4.76,18,3781,11.37,43,3781
1998,Greenwich,5.04,117,23230,10.33,240,23230
1998,Griswold,25.27,106,4194,47.21,198,4194
1998,Groton,24.62,381,15473,41.75,646,15473
1998,Guilford,3.8,31,8151,10.92,89,8151
1998,Haddam,7.4,20,2701,11.11,30,2701
1998,Hamden,21.24,476,22408,38.33,859,22408
1998,Hampton,8.9,6,674,11.87,8,674
1998,Hartford,203.53,9156,44986,384.25,17286,44986
1998,Hartland,2.83,2,707,2.83,2,707
1998,Harwinton,3.58,7,1958,6.64,13,1958
1998,Hebron,4.01,12,2993,9.02,27,2993
1998,Kent,2.62,3,1143,10.5,12,1143
1998,Killingly,43.4,276,6359,87.12,554,6359
1998,Killingworth,2.28,5,2196,7.29,16,2196
1998,Lebanon,11.86,29,2446,17.58,43,2446
1998,Ledyard,7.76,41,5286,13.05,69,5286
1998,Lisbon,13.77,21,1525,22.95,35,1525
1998,Litchfield,3.93,13,3310,12.99,43,3310
1998,Lyme,3.51,3,854,3.51,3,854
1998,Madison,2.3,15,6515,8.44,55,6515
1998,Manchester,29.57,686,23197,54.75,1270,23197
1998,Mansfield,12.29,65,5291,26.46,140,5291
1998,Marlborough,5.99,12,2005,10.47,21,2005
1998,Meriden,63.66,1461,22951,119.69,2747,22951
1998,Middlebury,4.17,10,2398,9.17,22,2398
1998,Middlefield,3.65,6,1645,13.37,22,1645
1998,Middletown,30.94,574,18554,67.48,1252,18554
1998,Milford,13.54,283,20900,27.51,575,20900
1998,Monroe,3.55,23,6481,7.1,46,6481
1998,Montville,13.23,85,6426,22.25,143,6426
1998,Morris,5.48,5,912,10.96,10,912
1998,Naugatuck,28.4,336,11829,47,556,11829
1998,New Britain,84.98,2427,28558,155.23,4433,28558
1998,New Canaan,1.17,8,6822,4.4,30,6822
1998,New Fairfield,5.61,26,4638,6.47,30,4638
1998,New Hartford,4.94,11,2228,10.77,24,2228
1998,New Haven,131.38,6187,47094,252.66,11899,47094
1998,New London,75.34,767,10181,147.63,1503,10181
1998,New Milford,13.38,134,10018,24.46,245,10018
1998,Newington,8.32,100,12014,17.48,210,12014
1998,Newtown,4.2,35,8325,14.41,120,8325
1998,Norfolk,13.31,9,676,11.83,8,676
1998,North Branford,7.4,38,5132,13.83,71,5132
1998,North Canaan,12.66,17,1343,24.57,33,1343
1998,North Haven,7.91,68,8597,14.42,124,8597
1998,North Stonington,7.09,13,1833,17.46,32,1833
1998,Norwalk,31,1014,32711,59.89,1959,32711
1998,Norwich,44,664,15091,98.34,1484,15091
1998,Old Lyme,4.39,13,2958,9.47,28,2958
1998,Old Saybrook,6.45,27,4184,12.19,51,4184
1998,Orange,3.8,18,4739,6.75,32,4739
1998,Oxford,5.98,20,3343,10.77,36,3343
1998,Plainfield,35.82,195,5444,65.03,354,5444
1998,Plainville,12.86,95,7385,30.87,228,7385
1998,Plymouth,15.5,69,4453,28.74,128,4453
1998,Pomfret,11.17,16,1433,16.75,24,1433
1998,Portland,15.35,52,3388,30.11,102,3388
1998,Preston,4.9,9,1837,13.06,24,1837
1998,Prospect,6.62,20,3020,8.94,27,3020
1998,Putnam,45.34,167,3683,89.06,328,3683
1998,Redding,1.71,5,2918,3.77,11,2918
1998,Ridgefield,1.42,12,8433,4.15,35,8433
1998,Rocky Hill,5.95,45,7557,13.1,99,7557
1998,Roxbury,1.18,1,848,3.54,3,848
1998,Salem,8.1,11,1358,12.52,17,1358
1998,Salisbury,4.03,7,1737,8.64,15,1737
1998,Scotland,5.42,3,553,9.04,5,553
1998,Seymour,17.22,106,6155,34.44,212,6155
1998,Sharon,4.82,6,1246,10.43,13,1246
1998,Shelton,9.44,134,14190,18.39,261,14190
1998,Sherman,3.49,5,1434,4.88,7,1434
1998,Simsbury,2.23,19,8527,4.81,41,8527
1998,Somers,7.52,22,2925,14.02,41,2925
1998,South Windsor,5.39,48,8905,9.99,89,8905
1998,Southbury,2.63,19,7225,4.01,29,7225
1998,Southington,11.34,171,15083,22.54,340,15083
1998,Sprague,20.7,23,1111,39.6,44,1111
1998,Stafford,22.51,98,4353,39.28,171,4353
1998,Stamford,27.62,1254,45399,50.35,2286,45399
1998,Sterling,17.92,20,1116,31.36,35,1116
1998,Stonington,12.39,95,7665,28.44,218,7665
1998,Stratford,19.7,392,19898,30.56,608,19898
1998,Suffield,4.94,23,4660,10.94,51,4660
1998,Thomaston,10.29,30,2916,21.95,64,2916
1998,Thompson,15.8,55,3482,35.04,122,3482
1998,Tolland,3.92,18,4586,6.76,31,4586
